"LC.MS.run","focal_ID","Cort_pg.mg","Age","Season","Density","log_Cort_pg.mg"
"6_1044","'0007AFEC28",36.25,228,"Autumn",417,3.59043938130068
"6_1044","'0007B8F200",30.58,261,"Autumn",417,3.42034620050092
"6_1044","'0007BAD870",41.51,272,"Autumn",417,3.72593436206495
"6_1044","'0007BA9B0E",55.08,230,"Autumn",417,4.00878667386045
"6_1044","'00079D74D7",41.51,446,"Autumn",417,3.72593436206495
"6_1044","'0007BADA4C",25.52,229,"Autumn",417,3.23946245847659
"6_1044","'0007BAD82D",56.3,259,"Autumn",417,4.03069453514564
"6_1044","'0007BABF8A",38.27,188,"Autumn",417,3.64466629943761
"6_1044","'0007B8D042",23.9,271,"Autumn",417,3.17387845893747
"6_1044","'0007B832E6",69.26,232,"Autumn",417,4.23786753897428
"6_1044","'0007B8F01B",33.21,216,"Autumn",417,3.50285103538866
"6_1044","'0007BA981F",44.15,216,"Autumn",417,3.78759292704997
"6_1044","'0007BAB1B2",24.1,234,"Autumn",417,3.18221184049661
"6_1044","'0007BAC5AA",34.02,192,"Autumn",417,3.52694858696772
"6_1044","'0007BAC407",51.03,438,"Autumn",417,3.93241369507588
"6_1044","'0007B8CF54",41.92,201,"Autumn",417,3.73576304001279
"6_1044","'0007B9AD8A",41.11,273,"Autumn",417,3.71625140090979
"6_1044","'0007B9ADA0",80.8,470,"Autumn",417,4.39197696552705
"6_1044","'0007B82DEB",36.65,278,"Autumn",417,3.60141342833266
"6_1044","'0007B8242A",42.12,231,"Autumn",417,3.74052268726577
"6_1044","'0007B9AB57",63.38,434,"Autumn",417,4.14914835426277
"6_1044","'0007B8D2E2",58.93,259,"Autumn",417,4.07635029884982
"6_1044","'0007B9B674",68.24,263,"Autumn",417,4.22303090318342
"6_1044","'0007B84AD4",48.2,258,"Autumn",417,3.87535902105655
"6_1044","'0007BA961B",75.94,258,"Autumn",417,4.32994355480366
"6_1044","'0007BAC2EB",36.86,121,"Autumn",417,3.60712695224168
"6_1044","'0007BAD93A",43.54,288,"Autumn",417,3.7736800558064
"6_1044","'0007BA9487",46.37,240,"Autumn",417,3.83665269840337
"6_1044","'0007BABEC4",54.27,403,"Autumn",417,3.99397158807531
"6_1044","'0007BAC202",46.17,467,"Autumn",417,3.8323302365189
"6_1044","'0007BAB2AE",36.86,247,"Autumn",417,3.60712695224168
"6_1044","'0007B8CCBB",36.65,236,"Autumn",417,3.60141342833266
"6_1044","'0007BA9632",31.79,244,"Autumn",417,3.45915177492271
"6_1044","'0007BA94D8",22.68,147,"Autumn",417,3.12148347885955
"6_1044","'0007B0494B",75.13,474,"Autumn",417,4.31921994638107
"6_1044","'0007B84C5C",33.41,253,"Autumn",417,3.50885525636867
"6_1044","'0007BAC790",32,120,"Autumn",447,3.46573590279973
"6_1044","'0007AFEC28",32.81,209,"Autumn",447,3.49073334697301
"6_1044","'0007BA95B2",38.88,263,"Autumn",447,3.66047997959224
"6_1044","'0007BAC005",36.05,271,"Autumn",447,3.58490686373096
